item,itemLabel
http://www.wikidata.org/entity/Q6054056,International Tundra Experiment
http://www.wikidata.org/entity/Q6394293,Kerplunk experiment
http://www.wikidata.org/entity/Q6489102,Large Underground Xenon Detector
http://www.wikidata.org/entity/Q6553393,Linear Aerospike SR-71 Experiment
http://www.wikidata.org/entity/Q6672239,Deep Underground Neutrino Experiment
http://www.wikidata.org/entity/Q6716149,MINERνA
http://www.wikidata.org/entity/Q6749594,NA49 experiment
http://www.wikidata.org/entity/Q6867980,Minneapolis Domestic Violence Experiment
http://www.wikidata.org/entity/Q6927170,Moving to Opportunity
http://www.wikidata.org/entity/Q7017322,Chemical garden
http://www.wikidata.org/entity/Q7097158,Operation IceBridge
http://www.wikidata.org/entity/Q7120563,PS210 experiment
http://www.wikidata.org/entity/Q7258914,Pugas
http://www.wikidata.org/entity/Q7315745,Resonant inelastic X-ray scattering
http://www.wikidata.org/entity/Q7319390,REXUS/BEXUS
http://www.wikidata.org/entity/Q7390403,SIMPLE
http://www.wikidata.org/entity/Q7493593,Shelf Life Extension Program
http://www.wikidata.org/entity/Q7649706,Sustained Spheromak Physics Experiment
http://www.wikidata.org/entity/Q7756455,The Peckham Experiment
http://www.wikidata.org/entity/Q7950952,WITCH experiment
http://www.wikidata.org/entity/Q7992174,Delayed-Choice-Experiment
http://www.wikidata.org/entity/Q9394511,Q9394511
http://www.wikidata.org/entity/Q11227523,KASKA
http://www.wikidata.org/entity/Q11985657,Q11985657
http://www.wikidata.org/entity/Q13217498,PICO
http://www.wikidata.org/entity/Q13415297,Lloyd's mirror
http://www.wikidata.org/entity/Q16854943,ALPHA
http://www.wikidata.org/entity/Q17011446,Exobiology Radiation Assembly
http://www.wikidata.org/entity/Q17041760,NA32 experiment
http://www.wikidata.org/entity/Q17098776,Lecher-Leitung
http://www.wikidata.org/entity/Q17111351,Operation Harness
http://www.wikidata.org/entity/Q18411883,Newcombe-Experiment
http://www.wikidata.org/entity/Q18424510,Q18424510
http://www.wikidata.org/entity/Q18576269,Kamiokande
http://www.wikidata.org/entity/Q18609787,OKA
http://www.wikidata.org/entity/Q19845375,Mu2e
http://www.wikidata.org/entity/Q21636676,Free Air Humidity Manipulation
http://www.wikidata.org/entity/Q22909594,Utopia Experiment
http://www.wikidata.org/entity/Q23707630,STAR project
http://www.wikidata.org/entity/Q24254908,Q24254908
http://www.wikidata.org/entity/Q24867841,XMASS
http://www.wikidata.org/entity/Q25099486,NA63 experiment
http://www.wikidata.org/entity/Q25099564,WA89 experiment
http://www.wikidata.org/entity/Q25378407,Joint Polarization Experiment
http://www.wikidata.org/entity/Q26688977,Q26688977
http://www.wikidata.org/entity/Q28162685,Waves
http://www.wikidata.org/entity/Q28208688,AWAKE
http://www.wikidata.org/entity/Q28225391,Moon radar experiment
http://www.wikidata.org/entity/Q28402711,WA70 experiment
http://www.wikidata.org/entity/Q28501620,Acali
http://www.wikidata.org/entity/Q30110308,Projet d'Identification de CAndidats Supersymétriques SOmbres
http://www.wikidata.org/entity/Q30715923,golden rain demonstration
http://www.wikidata.org/entity/Q34559966,UA4-Experiment
http://www.wikidata.org/entity/Q35295773,UA8 experiment
http://www.wikidata.org/entity/Q35296330,UA5-Experiment
http://www.wikidata.org/entity/Q42562495,"Rothamsted Residual Values Experiment, Little Hoos"
http://www.wikidata.org/entity/Q42742662,"Rothamsted two-course rotation experiment, effect of agricultural salt"
http://www.wikidata.org/entity/Q47538914,Q47538914
http://www.wikidata.org/entity/Q49000592,cooperative pulling paradigm
http://www.wikidata.org/entity/Q52160378,Main cropping system experiment - Main site
http://www.wikidata.org/entity/Q54974569,Bruno Rossi and David B. Hall experiment
http://www.wikidata.org/entity/Q56100182,SCI-HI
http://www.wikidata.org/entity/Q56100273,PRIZM
http://www.wikidata.org/entity/Q60788494,Star Thrust Experiment
http://www.wikidata.org/entity/Q61230614,Superheavy Element Factory
http://www.wikidata.org/entity/Q61542447,University of Queensland pitch drop experiment
http://www.wikidata.org/entity/Q64822401,blue vitriol heating demonstration
http://www.wikidata.org/entity/Q64822425,separation of a three component mixture demonstration
http://www.wikidata.org/entity/Q64822834,gas chromatography demonstration
http://www.wikidata.org/entity/Q64825175,determination of polar and nonpolar compounds demonstration
http://www.wikidata.org/entity/Q64825202,effect of concentration on reaction rate - Zn + HCl demonstration
http://www.wikidata.org/entity/Q64825212,effect of temperature on reaction rate - Zn + HCl demonstration
http://www.wikidata.org/entity/Q64825223,effect of surface area on reaction rate - Zn + HCl demonstration
http://www.wikidata.org/entity/Q64827548,effect of concentration on reaction rate - KMnO4 + (COOH)2 demonstration
http://www.wikidata.org/entity/Q64827716,effect of temperature on reaction rate - KMnO4 + (COOH)2 demonstration
http://www.wikidata.org/entity/Q64827831,catalytic decomposition of hydrogen peroxide demonstration
http://www.wikidata.org/entity/Q64827853,effect of concentration on reaction rate - Na2S2O3 + HCl demonstration
http://www.wikidata.org/entity/Q64827879,visible activated complex - catalysis demonstration
http://www.wikidata.org/entity/Q64827909,oscillating reaction demonstration
http://www.wikidata.org/entity/Q64828529,effect of concentration and temperature on chemical equilibrium demonstration
http://www.wikidata.org/entity/Q64828772,equilibrium between ICl and ICl3 demonstration
http://www.wikidata.org/entity/Q64830489,solubility demonstration
http://www.wikidata.org/entity/Q64831087,detection of nickel(ii) using Chugaev's reagent demonstration
http://www.wikidata.org/entity/Q64831093,thermal conductivity of water demonstration
http://www.wikidata.org/entity/Q64831105,thermal conductivity of solids demonstration
http://www.wikidata.org/entity/Q64842258,electrical conductivity of liquids demonstration
http://www.wikidata.org/entity/Q64846020,exothermic and endothermic reactions demonstration
http://www.wikidata.org/entity/Q64846040,acid-base reaction demonstration
http://www.wikidata.org/entity/Q107436372,NA37
http://www.wikidata.org/entity/Q107645972,GBAR experiment
http://www.wikidata.org/entity/Q107645987,ATRAP experiment
http://www.wikidata.org/entity/Q107675228,ASACUSA experiment
http://www.wikidata.org/entity/Q108013018,Milk art
http://www.wikidata.org/entity/Q108014283,Milk fat extraction
http://www.wikidata.org/entity/Q108167108,AEgIS experiment
http://www.wikidata.org/entity/Q108336630,PUMA experiment
http://www.wikidata.org/entity/Q109545611,Siemens eHighway
http://www.wikidata.org/entity/Q110894549,fusion experiment on 21 December 2021
http://www.wikidata.org/entity/Q114851204,Sun Radio Interferometer Space Experiment
http://www.wikidata.org/entity/Q115307184,TOGA COARE
http://www.wikidata.org/entity/Q115800107,Kentler experiment
http://www.wikidata.org/entity/Q116681951,Satellite Orbital Debris Characterization Impact Test
http://www.wikidata.org/entity/Q116810560,Luchins and Luchins water jar experiment
http://www.wikidata.org/entity/Q116869807,Traffic light experiment
http://www.wikidata.org/entity/Q117830415,Azores Fixed Acoustic Range
http://www.wikidata.org/entity/Q119514938,The bRing experiment
http://www.wikidata.org/entity/Q121298686,Q121298686
http://www.wikidata.org/entity/Q121299561,Q121299561
http://www.wikidata.org/entity/Q121308503,ISOLDE Decay Station experiment
http://www.wikidata.org/entity/Q122200053,Where on earth do you tweet and map
http://www.wikidata.org/entity/Q122979103,Genesis and Rapid Intensification Processes
http://www.wikidata.org/entity/Q123376497,Pictet's experiment
http://www.wikidata.org/entity/Q123485462,Q123485462
http://www.wikidata.org/entity/Q123864125,OSQAR-Experiment
http://www.wikidata.org/entity/Q124377954,Hawking's time traveller party
http://www.wikidata.org/entity/Q124542482,Q124542482
http://www.wikidata.org/entity/Q125941261,Q125941261
http://www.wikidata.org/entity/Q64846059,voltaic cell demonstration
http://www.wikidata.org/entity/Q64846076,cupric chloride electrolysis demonstration
http://www.wikidata.org/entity/Q64847471,sodium chloride electrolysis demonstration
http://www.wikidata.org/entity/Q64847590,water electrolysis demonstration
http://www.wikidata.org/entity/Q64847726,dissolution rate demonstration
http://www.wikidata.org/entity/Q64848071,diffusion demonstration
http://www.wikidata.org/entity/Q64848193,surface tension demonstration
http://www.wikidata.org/entity/Q64848273,emulsifying effect of detergent demonstration
http://www.wikidata.org/entity/Q64848303,adsorption properties of activated carbon demonstration
http://www.wikidata.org/entity/Q64848307,methane combustion demonstration
http://www.wikidata.org/entity/Q64848319,detection of carbon and hydrogen in organic compounds demonstration
http://www.wikidata.org/entity/Q64848360,detection of nitrogen in organic compounds demonstration
http://www.wikidata.org/entity/Q64853446,detection of sulfur in organic compounds demonstration
http://www.wikidata.org/entity/Q64853587,detection of halogens in organic compounds demonstration
http://www.wikidata.org/entity/Q64853600,reactions of alkanes and alkenes with bromine demonstration
http://www.wikidata.org/entity/Q64853617,bromination of phenol demonstration
http://www.wikidata.org/entity/Q64853633,fireproof banknote demonstration
http://www.wikidata.org/entity/Q64853719,acetylene preparation and combustion demonstration
http://www.wikidata.org/entity/Q64853829,detection of carbonates using hydrochloric acid demonstration
http://www.wikidata.org/entity/Q64854251,determination of barium(ii) demonstration
http://www.wikidata.org/entity/Q64854410,dissolution of polystyrene in acetone demonstration
http://www.wikidata.org/entity/Q64859024,solubility of phenol in water demonstration
http://www.wikidata.org/entity/Q64859107,oxidation of alcohols demonstration
http://www.wikidata.org/entity/Q64859491,combustion of hydrocarbons observation demonstration
http://www.wikidata.org/entity/Q64859614,how to distinguish methanol from ethanol - demonstration
http://www.wikidata.org/entity/Q64859731,preparation of acetaldehyde from ethanol - demonstration
http://www.wikidata.org/entity/Q64859826,reaction between acetic acid and sodium bicarbonate demonstration
http://www.wikidata.org/entity/Q64859839,chemiluminescence demonstration
http://www.wikidata.org/entity/Q64859873,esterification demonstration
http://www.wikidata.org/entity/Q64860103,preparation of soap - demonstration
http://www.wikidata.org/entity/Q64860113,properties of soap - demonstration
http://www.wikidata.org/entity/Q64860140,reactions of aldehydes with Fehling's solution demonstration
http://www.wikidata.org/entity/Q64860473,reaction of aldehydes with Tollens' reagent demonstration
http://www.wikidata.org/entity/Q64860643,coordination complexes of cobalt demonstration
http://www.wikidata.org/entity/Q64861188,homemade volcano demonstration
http://www.wikidata.org/entity/Q64861241,starch detection demonstration
http://www.wikidata.org/entity/Q64861279,protein detection demonstration
http://www.wikidata.org/entity/Q64861364,coordination complexes of copper demonstration
http://www.wikidata.org/entity/Q64861417,coordination complexes of iron demonstration
http://www.wikidata.org/entity/Q64861481,DNA extraction demonstration
http://www.wikidata.org/entity/Q64861693,protein denaturation demonstration
http://www.wikidata.org/entity/Q64863410,alpha-amylase in saliva demonstration
http://www.wikidata.org/entity/Q64863437,solubility of lipids demonstration
http://www.wikidata.org/entity/Q64863448,catalase in food demonstration
http://www.wikidata.org/entity/Q64863495,preparation of ethylene by polyethylene depolymerization - demonstration
http://www.wikidata.org/entity/Q64869240,coordination complexes of nickel demonstration
http://www.wikidata.org/entity/Q64869350,dancing raisins
http://www.wikidata.org/entity/Q64869368,detection of calcium(ii) using oxalic acid demonstration
http://www.wikidata.org/entity/Q64869381,reactions of silver(I) with halides demonstration
http://www.wikidata.org/entity/Q64869397,reactions of lead(ii) demonstration
http://www.wikidata.org/entity/Q65041294,Eddington experiment
http://www.wikidata.org/entity/Q65196370,Q65196370
http://www.wikidata.org/entity/Q66736012,Polar-Areas Stellar-Imaging in Polarization High-Accuracy Experiment
http://www.wikidata.org/entity/Q71588150,BEXUS
http://www.wikidata.org/entity/Q78886896,Oxford Vascular Study
http://www.wikidata.org/entity/Q80564724,FASER (Detektor)
http://www.wikidata.org/entity/Q85427036,military LSD experiments
http://www.wikidata.org/entity/Q85783531,Revival of the woolly mammoth
http://www.wikidata.org/entity/Q85785298,Microphysiometry
http://www.wikidata.org/entity/Q86662805,Ganz-Versuchsstrecke auf der Óbuda-Insel
http://www.wikidata.org/entity/Q89190565,Hydrostatic apparatus-MHS 568
http://www.wikidata.org/entity/Q89336735,Hero's fountain-MHS 571
http://www.wikidata.org/entity/Q89428743,Tornado simulator-MHS 230
http://www.wikidata.org/entity/Q89464545,electrical egg-MHS 2030
http://www.wikidata.org/entity/Q89465701,hydraulic spinning top-MHS 209
http://www.wikidata.org/entity/Q90917339,Arctic Boreal and Vulnerability Experiment
http://www.wikidata.org/entity/Q90918563,Asian Summer Monsoon Chemical and Climate Impact Project
http://www.wikidata.org/entity/Q90919695,Convective Processes Experiment – Aerosols & Winds
http://www.wikidata.org/entity/Q90919717,Investigation of Microphysics and Precipitation for Atlantic Coast-Threatening Snowstorms
http://www.wikidata.org/entity/Q90919727,Sub-Mesoscale Ocean Dynamics Experiment
http://www.wikidata.org/entity/Q90919974,Dynamics and Chemistry of the Summer Stratosphere
http://www.wikidata.org/entity/Q90920212,Fire Influence on Regional to Global Environments Experiment - Air Quality
http://www.wikidata.org/entity/Q90920436,"Cloud, Aerosol and Monsoon Processes Philippines Experiment"
http://www.wikidata.org/entity/Q90920788,EXport Processes in the Ocean from Remote Sensing
http://www.wikidata.org/entity/Q90920797,ObseRvations of Aerosols above CLouds and their intEractionS
http://www.wikidata.org/entity/Q90920799,Atmospheric Tomography Mission
http://www.wikidata.org/entity/Q90920904,"Pacific Oxidants, Sulfur, Ice, Dehydration, and cONvection"
http://www.wikidata.org/entity/Q90921238,KORUS-AQ
http://www.wikidata.org/entity/Q90921422,Arctic Radiation - IceBridge Sea&Ice Experiment
http://www.wikidata.org/entity/Q90921544,Ship-Aircraft Bio-Optical Research
http://www.wikidata.org/entity/Q90921692,Alpha Jet Atmospheric eXperiment
http://www.wikidata.org/entity/Q90921730,COral Reef Airborne Laboratory
http://www.wikidata.org/entity/Q90922813,Atmospheric Carbon and Transport – America
http://www.wikidata.org/entity/Q90922931,North Atlantic Aerosols and Marine Ecosystems Study
http://www.wikidata.org/entity/Q90923837,Convective Processes Experiment
http://www.wikidata.org/entity/Q90924014,Oceans Melting Greenland
http://www.wikidata.org/entity/Q92135343,Q92135343
http://www.wikidata.org/entity/Q93379220,Comparative Effectiveness of Broad- versus Narrow-Spectrum Antibiotics for Acute Respiratory Tract Infections in Children
http://www.wikidata.org/entity/Q93608553,Effect of Glucose Monitoring on Patient and Provider Outcomes in Non-Insulin Treated Diabetes
http://www.wikidata.org/entity/Q97380580,REXUS
http://www.wikidata.org/entity/Q103840974,Operation Everest III (Comex-'97)
http://www.wikidata.org/entity/Q103842709,Operation Everest II
http://www.wikidata.org/entity/Q103844544,The Battle of Bonneville
http://www.wikidata.org/entity/Q105703591,Schnellfahrversuche mit Dampflokomotiven zwischen Marienfelde und Zossen
http://www.wikidata.org/entity/Q106511459,Lunar Surface Cosmic Ray Experiment
http://www.wikidata.org/entity/Q106511651,Alpha Particle Spectrometer
http://www.wikidata.org/entity/Q106511853,Lunar Sounder Experiment
http://www.wikidata.org/entity/Q106518848,Seismic Profiling Experiment
http://www.wikidata.org/entity/Q107174850,idr0109-zaritsky-melanoma experimentA
http://www.wikidata.org/entity/Q107264908,Libet-Experiment
